property_id,city,locality,locality_tier,property_type,bhk,bathrooms,balconies,built_up_area,carpet_area,floor_number,total_floors,floor_category,facing,furnishing_status,property_age,parking_spaces,security_score,gym_available,swimming_pool,power_backup,lift_available,maintenance_fee_monthly,distance_to_city_center_km,distance_to_metro_km,nearby_schools,nearby_hospitals,transaction_type,price_in_lakhs,price_category
PROP-028488,Hyderabad,Gachibowli,Standard,Villa,4,4,1,2357,2038,1,2,Low (1-4),East,Fully Furnished,11,2,5.7,0,0,0,0,3857,12.1,1.8,3,1,Resale,224.24,High
PROP-045385,Mumbai,Navi Mumbai,Affordable,Independent House,2,2,0,1236,1015,26,27,Top (20+),South,Unfurnished,12,1,5.4,1,0,1,1,4766,18.2,4.9,2,1,New,99.55,Low
PROP-045848,Delhi,Dwarka,Standard,Penthouse,5,5,1,2783,2368,0,10,Ground,West,Semi-Furnished,1,2,7.7,0,1,0,0,5794,15.5,0.1,3,3,New,228.1,High
PROP-002118,Mumbai,Andheri,Standard,Independent House,2,2,4,1203,1037,6,11,Mid (5-9),North-West,Unfurnished,2,1,5.0,0,0,1,1,2069,17.5,0.2,2,1,Resale,103.39,Low
PROP-048428,Delhi,South Delhi,Premium,Row House,4,4,2,1866,1545,7,12,Mid (5-9),North-West,Unfurnished,1,0,7.3,1,0,1,1,4210,14.4,12.3,4,4,Resale,307.62,High
PROP-015837,Bangalore,Koramangala,Premium,Row House,3,4,3,1397,1163,19,21,High (10-19),East,Fully Furnished,7,1,6.0,1,0,1,1,4024,6.0,0.8,2,2,Resale,156.61,Low
PROP-003361,Bangalore,Electronic City,Standard,Studio,1,1,2,396,332,30,31,Top (20+),North-West,Semi-Furnished,22,0,5.3,0,0,1,1,2367,10.6,0.2,4,2,New,18.06,Low
PROP-007025,Mumbai,Bandra,Premium,Independent House,3,4,2,1683,1411,15,22,High (10-19),North-East,Unfurnished,4,1,4.3,1,0,1,1,4515,7.6,1.7,3,2,Resale,225.33,High
PROP-026907,Hyderabad,Gachibowli,Standard,Apartment,3,3,2,1367,1110,14,22,High (10-19),North,Semi-Furnished,0,1,2.8,0,0,0,1,2575,15.0,4.3,5,3,Resale,112.95,Low
PROP-024738,Hyderabad,Kondapur,Standard,Villa,4,4,2,2181,1821,30,34,Top (20+),West,Semi-Furnished,13,2,6.5,0,0,1,1,3398,10.4,0.2,3,3,Resale,133.35,Low
PROP-000923,Bangalore,Koramangala,Premium,Penthouse,4,4,2,1988,1666,5,12,Mid (5-9),North-West,Fully Furnished,8,1,10.0,1,1,1,1,6357,8.0,4.2,4,1,New,311.96,High
PROP-006709,Bangalore,Electronic City,Standard,Independent House,4,4,4,2126,1752,1,7,Low (1-4),North,Semi-Furnished,5,0,4.7,0,0,1,0,3492,12.4,1.4,2,4,Resale,178.71,Low
PROP-039866,Bangalore,HSR Layout,Standard,Apartment,2,2,1,982,855,0,18,Ground,North,Fully Furnished,16,0,3.5,0,0,0,0,2260,16.0,1.4,1,0,Resale,82.82,Low
PROP-017332,Hyderabad,Banjara Hills,Premium,Independent House,3,4,2,1842,1511,4,7,Low (1-4),South,Semi-Furnished,3,0,7.1,1,0,1,1,4137,8.0,0.5,1,2,Resale,247.58,High
PROP-004225,Hyderabad,Gachibowli,Standard,Independent House,5,5,0,2683,2163,0,14,Ground,North,Unfurnished,4,5,6.1,0,0,0,0,3555,20.1,0.1,0,0,New,255.35,High
PROP-048258,Mumbai,Bandra,Premium,Apartment,4,4,1,1745,1465,9,13,Mid (5-9),South-East,Semi-Furnished,2,1,5.5,0,1,1,1,4704,4.3,0.3,2,3,Resale,287.1,High
PROP-023785,Mumbai,Andheri,Standard,Apartment,2,2,1,929,787,35,43,Top (20+),North,Unfurnished,9,2,8.0,0,0,0,1,2352,24.1,2.1,3,1,Resale,109.83,Low
PROP-033846,Mumbai,Navi Mumbai,Affordable,Apartment,2,2,1,902,781,6,11,Mid (5-9),South-East,Semi-Furnished,7,1,5.7,0,0,1,1,1716,19.3,3.7,6,1,Resale,42.16,Low
PROP-013339,Hyderabad,Gachibowli,Standard,Apartment,2,2,1,857,703,2,5,Low (1-4),South-West,Unfurnished,3,1,6.1,0,0,1,1,1945,17.1,1.5,3,2,Resale,32.62,Low
PROP-028444,Bangalore,HSR Layout,Standard,Independent House,2,2,0,1414,1163,12,13,High (10-19),South-West,Semi-Furnished,1,2,5.4,0,0,1,1,2488,10.2,1.8,2,3,New,124.74,Low
PROP-015892,Bangalore,Electronic City,Standard,Villa,4,4,3,2291,1836,3,9,Low (1-4),West,Unfurnished,0,1,7.2,1,1,0,1,5901,15.8,15.0,1,1,New,126.05,Low
PROP-003461,Bangalore,Whitefield,Standard,Apartment,2,2,2,968,794,4,13,Low (1-4),North-East,Fully Furnished,1,1,4.8,0,0,0,1,2627,10.3,2.0,2,2,New,71.06,Low
PROP-042513,Bangalore,Indiranagar,Premium,Villa,4,4,1,2190,1830,2,6,Low (1-4),North-East,Fully Furnished,3,1,10.0,1,1,1,1,6264,8.3,0.4,6,0,Resale,325.1,High
PROP-003452,Delhi,Dwarka,Standard,Independent House,3,3,1,1756,1471,35,39,Top (20+),West,Fully Furnished,1,0,5.9,0,0,0,1,2437,14.8,1.5,1,1,Resale,170.34,Low
PROP-028507,Delhi,Dwarka,Standard,Apartment,3,3,1,1562,1357,4,10,Low (1-4),East,Unfurnished,6,3,4.4,0,0,1,1,2443,11.1,1.3,4,0,Resale,121.42,Low
PROP-022224,Delhi,South Delhi,Premium,Independent House,4,3,2,2058,1769,19,28,High (10-19),South-West,Unfurnished,13,1,6.8,0,0,1,1,2693,13.7,0.6,5,2,Resale,232.54,High
PROP-029377,Mumbai,Andheri,Standard,Apartment,3,4,1,1418,1213,3,6,Low (1-4),East,Unfurnished,5,5,3.1,0,0,1,1,3260,14.0,0.5,3,1,New,95.87,Low
PROP-011133,Bangalore,Whitefield,Standard,Apartment,3,4,2,1348,1150,11,16,High (10-19),South-East,Fully Furnished,10,1,3.7,0,1,0,1,4976,12.0,3.7,5,3,New,129.98,Low
PROP-000245,Mumbai,Thane,Affordable,Apartment,2,3,0,953,792,6,15,Mid (5-9),North-East,Fully Furnished,4,0,6.1,0,0,0,1,1695,18.5,0.3,8,0,Resale,65.14,Low
PROP-028900,Delhi,Dwarka,Standard,Independent House,5,5,4,2854,2501,6,13,Mid (5-9),South,Unfurnished,8,2,3.8,0,0,1,1,3518,12.7,0.3,3,1,Resale,178.37,Low
PROP-004435,Mumbai,Bandra,Premium,Apartment,3,3,1,1428,1147,11,20,High (10-19),East,Fully Furnished,0,3,5.5,0,0,1,1,2849,7.9,0.1,3,2,Resale,240.66,High
PROP-013298,Bangalore,Koramangala,Premium,Independent House,3,3,4,1958,1624,34,43,Top (20+),South,Semi-Furnished,7,1,6.6,1,1,1,1,7028,6.1,3.8,2,4,Resale,292.75,High
PROP-030287,Bangalore,Indiranagar,Premium,Apartment,2,3,2,854,737,5,8,Mid (5-9),South-West,Semi-Furnished,7,1,6.3,0,0,0,1,2635,4.1,1.2,3,3,Resale,75.79,Low
PROP-001330,Delhi,Noida Extension,Affordable,Villa,3,3,1,1789,1450,21,23,Top (20+),North-East,Unfurnished,6,5,8.3,0,1,1,1,4500,21.3,1.9,3,3,New,78.77,Low
PROP-048452,Bangalore,Electronic City,Standard,Apartment,2,2,4,976,804,2,3,Low (1-4),North-East,Semi-Furnished,3,0,5.9,0,0,0,1,1624,11.5,3.0,4,0,Resale,47.18,Low
PROP-004876,Bangalore,Whitefield,Standard,Independent House,5,6,4,2794,2314,3,12,Low (1-4),North,Semi-Furnished,8,2,7.0,0,0,0,1,4063,17.1,7.4,2,2,Resale,217.61,High
PROP-030557,Hyderabad,Jubilee Hills,Premium,Independent House,3,3,3,1766,1430,4,12,Low (1-4),East,Unfurnished,11,2,5.2,1,0,1,1,3995,4.2,7.4,5,0,Resale,242.98,High
PROP-040314,Bangalore,Electronic City,Standard,Apartment,2,3,2,1079,897,25,31,Top (20+),South,Fully Furnished,7,1,5.7,0,0,0,1,3037,17.6,0.4,6,1,Resale,117.39,Low
PROP-048971,Delhi,South Delhi,Premium,Studio,1,2,1,483,399,1,5,Low (1-4),East,Unfurnished,23,1,5.7,0,1,1,0,3438,8.4,3.6,5,3,Resale,61.49,Low
PROP-021272,Bangalore,Whitefield,Standard,Apartment,3,3,2,1027,889,3,4,Low (1-4),South,Fully Furnished,22,2,7.7,0,0,1,1,1895,11.4,4.7,3,0,Resale,45.14,Low
PROP-009444,Hyderabad,Gachibowli,Standard,Apartment,4,5,2,1739,1468,19,28,High (10-19),East,Unfurnished,8,1,5.3,0,0,1,1,3227,10.1,3.9,8,0,Resale,146.78,Low
PROP-005878,Hyderabad,Gachibowli,Standard,Independent House,4,5,1,2197,1802,8,12,Mid (5-9),East,Unfurnished,17,5,5.2,0,1,0,1,5161,10.2,1.3,3,1,Resale,163.22,Low
PROP-029783,Bangalore,Electronic City,Standard,Apartment,4,4,1,1933,1629,4,9,Low (1-4),West,Unfurnished,4,2,8.1,0,0,1,1,2743,12.5,1.9,3,2,Resale,159.3,Low
PROP-012511,Hyderabad,Madhapur,Standard,Apartment,3,3,1,1361,1192,7,8,Mid (5-9),North,Unfurnished,4,1,3.7,0,0,0,1,2966,17.8,0.7,3,0,Resale,75.9,Low
PROP-028730,Hyderabad,Kondapur,Standard,Studio,1,1,1,556,483,8,14,Mid (5-9),East,Semi-Furnished,1,1,6.1,0,0,1,1,2342,11.5,0.9,2,1,Resale,43.92,Low
PROP-017618,Delhi,Noida Sector 62,Standard,Independent House,5,5,2,2751,2340,5,8,Mid (5-9),South-East,Semi-Furnished,2,2,6.6,0,0,1,1,3928,15.2,0.1,1,0,New,234.41,High
PROP-012125,Delhi,Gurgaon DLF,Premium,Apartment,2,2,2,696,557,0,2,Ground,North,Unfurnished,5,1,4.4,1,1,1,0,5293,8.1,1.7,9,3,New,125.62,Low
PROP-024766,Delhi,Gurgaon DLF,Premium,Penthouse,4,4,3,2138,1775,5,12,Mid (5-9),East,Unfurnished,8,2,5.7,1,1,1,1,6580,6.9,0.8,5,3,New,325.46,High
PROP-031587,Mumbai,Powai,Standard,Independent House,5,5,2,2610,2196,11,12,High (10-19),West,Semi-Furnished,5,1,6.4,0,0,0,1,4243,10.6,1.4,4,2,Resale,78.23,Low
PROP-007990,Hyderabad,Jubilee Hills,Premium,Studio,1,1,1,571,490,8,14,Mid (5-9),East,Fully Furnished,14,0,8.7,1,0,1,1,3471,10.7,4.0,1,5,Resale,87.53,Low
PROP-028580,Bangalore,Indiranagar,Premium,Apartment,4,5,0,1679,1411,0,13,Ground,South-East,Fully Furnished,4,2,8.0,0,0,1,0,3161,5.4,3.3,3,1,New,234.13,High
PROP-049290,Delhi,Dwarka,Standard,Apartment,2,2,0,773,631,9,10,Mid (5-9),North-East,Fully Furnished,0,0,4.4,0,0,1,1,1496,11.6,1.2,2,1,New,53.73,Low
PROP-010769,Hyderabad,Gachibowli,Standard,Villa,3,2,4,1725,1401,2,7,Low (1-4),North-East,Semi-Furnished,12,2,6.4,0,0,1,1,2478,10.4,2.9,2,3,Resale,115.27,Low
PROP-003449,Hyderabad,Madhapur,Standard,Independent House,4,5,4,2276,1960,4,12,Low (1-4),North,Semi-Furnished,3,5,2.8,1,0,1,1,4509,13.4,4.9,3,1,Resale,185.33,Low
PROP-013665,Bangalore,Electronic City,Standard,Villa,4,4,1,2088,1676,9,16,Mid (5-9),South,Unfurnished,1,4,5.5,0,0,0,1,2705,14.9,3.6,3,1,Resale,123.0,Low
PROP-034346,Delhi,Gurgaon DLF,Premium,Apartment,3,4,0,1198,1023,11,20,High (10-19),South-East,Unfurnished,10,0,7.3,1,0,1,1,3189,4.7,3.0,3,1,Resale,163.15,Low
PROP-011233,Mumbai,Powai,Standard,Apartment,3,3,3,1273,1023,23,32,Top (20+),South-West,Fully Furnished,12,2,5.5,0,0,0,1,3230,11.2,0.2,1,2,Resale,139.45,Low
PROP-032956,Delhi,South Delhi,Premium,Studio,1,1,2,412,331,11,20,High (10-19),North-East,Semi-Furnished,7,2,6.9,1,0,1,1,2543,5.2,0.3,2,5,New,69.28,Low
PROP-046624,Hyderabad,Banjara Hills,Premium,Studio,1,1,0,300,241,5,8,Mid (5-9),East,Unfurnished,6,0,5.9,1,1,1,1,5656,5.3,0.4,6,6,Resale,42.92,Low
PROP-049451,Mumbai,Thane,Affordable,Independent House,4,4,3,2194,1807,21,26,Top (20+),North-East,Fully Furnished,11,4,3.3,0,0,1,1,2717,18.8,5.7,3,0,New,115.58,Low
PROP-016400,Delhi,Dwarka,Standard,Row House,4,4,2,1777,1513,8,9,Mid (5-9),West,Fully Furnished,4,0,3.9,0,0,1,1,2484,15.3,0.6,1,2,New,139.07,Low
PROP-024633,Mumbai,Thane,Affordable,Apartment,2,2,1,793,642,10,14,High (10-19),North,Semi-Furnished,17,2,6.3,0,0,0,1,2096,18.5,1.7,4,3,Resale,44.23,Low
PROP-028031,Delhi,Noida Sector 62,Standard,Row House,4,4,1,1687,1425,0,7,Ground,South-West,Unfurnished,1,5,6.4,0,0,0,0,2759,11.4,1.6,2,1,Resale,150.29,Low
PROP-031062,Bangalore,Electronic City,Standard,Row House,3,3,2,1497,1238,11,16,High (10-19),North-East,Fully Furnished,10,3,5.7,0,0,0,1,2926,10.3,0.9,5,1,Resale,148.61,Low
PROP-045242,Mumbai,Bandra,Premium,Apartment,2,2,1,919,791,1,7,Low (1-4),East,Unfurnished,2,0,6.7,1,1,1,0,5440,13.5,2.7,4,1,Resale,148.43,Low
PROP-033097,Delhi,Noida Sector 62,Standard,Apartment,3,3,2,1305,1051,3,9,Low (1-4),North-East,Fully Furnished,6,1,4.7,0,0,0,1,2467,10.7,1.2,2,4,Resale,74.07,Low
PROP-029750,Hyderabad,Kondapur,Standard,Apartment,3,3,4,1266,1084,16,21,High (10-19),North-West,Unfurnished,1,2,6.2,0,0,1,1,2752,11.6,3.2,3,2,Resale,86.7,Low
PROP-030723,Hyderabad,Madhapur,Standard,Villa,4,4,4,2337,1885,1,10,Low (1-4),South-East,Semi-Furnished,3,2,8.0,1,0,1,0,4844,14.7,2.3,0,1,Resale,207.05,High
PROP-016750,Mumbai,Bandra,Premium,Apartment,2,2,2,885,767,0,9,Ground,East,Unfurnished,9,1,5.5,1,0,1,0,3744,11.7,5.3,5,2,New,109.04,Low
PROP-012721,Hyderabad,Gachibowli,Standard,Independent House,5,4,2,2380,1960,7,9,Mid (5-9),South,Unfurnished,11,5,3.9,0,0,0,1,3585,10.7,5.9,0,2,New,242.8,High
PROP-036131,Bangalore,Electronic City,Standard,Row House,3,2,2,1240,1010,1,10,Low (1-4),East,Fully Furnished,12,4,5.8,0,0,1,0,2089,11.0,1.5,4,1,New,143.11,Low
PROP-039417,Delhi,South Delhi,Premium,Apartment,3,3,2,1351,1111,2,8,Low (1-4),East,Unfurnished,11,2,6.0,1,1,1,1,6041,7.4,0.7,2,0,New,189.89,Low
PROP-021984,Bangalore,Koramangala,Premium,Independent House,4,5,2,1996,1601,11,19,High (10-19),South-East,Semi-Furnished,5,3,6.4,1,0,1,1,4361,10.4,3.3,4,4,New,278.89,High
PROP-025793,Bangalore,Koramangala,Premium,Apartment,2,3,0,939,766,2,4,Low (1-4),South,Fully Furnished,14,2,6.7,1,1,1,1,5322,5.0,0.4,2,0,Resale,133.45,Low
PROP-039769,Bangalore,Koramangala,Premium,Apartment,5,5,2,2146,1770,18,26,High (10-19),North,Fully Furnished,4,3,7.6,0,1,1,1,6140,6.8,1.2,2,3,Resale,400.25,High
PROP-010335,Hyderabad,Jubilee Hills,Premium,Apartment,2,2,1,1070,937,8,14,Mid (5-9),North-East,Unfurnished,35,2,6.4,0,0,1,1,2058,5.6,5.0,3,5,New,128.18,Low
PROP-042491,Bangalore,Indiranagar,Premium,Apartment,4,5,3,1633,1367,13,20,High (10-19),South-East,Unfurnished,7,4,7.3,0,0,0,1,2078,10.3,4.1,2,1,Resale,240.0,High
PROP-036879,Delhi,Noida Sector 62,Standard,Studio,2,3,2,875,766,0,3,Ground,South-West,Semi-Furnished,5,0,2.4,0,0,1,0,1340,12.3,3.9,0,1,New,57.78,Low
PROP-006651,Hyderabad,Jubilee Hills,Premium,Apartment,4,4,2,1935,1679,4,11,Low (1-4),North,Unfurnished,16,3,6.4,0,0,1,1,3283,5.9,0.6,4,2,Resale,302.54,High
PROP-003301,Delhi,Gurgaon DLF,Premium,Villa,5,4,2,2668,2149,3,12,Low (1-4),South-West,Unfurnished,1,0,5.8,1,1,1,1,6137,7.5,0.3,5,4,Resale,527.85,High
PROP-014300,Mumbai,Andheri,Standard,Independent House,2,3,0,1294,1093,10,15,High (10-19),West,Unfurnished,7,1,5.4,0,0,0,1,2115,22.1,7.9,2,0,Resale,124.0,Low
PROP-008922,Mumbai,Navi Mumbai,Affordable,Apartment,3,3,2,1247,1017,19,25,High (10-19),South-East,Unfurnished,2,2,6.6,0,0,1,1,2712,18.3,0.1,1,0,Resale,40.49,Low
PROP-036077,Bangalore,Indiranagar,Premium,Apartment,3,4,3,1330,1145,36,40,Top (20+),East,Unfurnished,3,2,4.7,1,0,1,1,5084,4.3,1.2,3,3,New,194.84,High
PROP-046579,Hyderabad,Jubilee Hills,Premium,Apartment,3,3,3,1327,1112,14,20,High (10-19),North,Unfurnished,2,1,5.8,1,1,1,1,5933,8.6,2.9,2,4,Resale,185.63,Low
PROP-014940,Mumbai,Bandra,Premium,Studio,1,1,1,504,425,1,6,Low (1-4),South-West,Unfurnished,3,1,6.9,1,0,1,0,3784,4.5,1.8,3,5,New,69.36,Low
PROP-037027,Delhi,South Delhi,Premium,Apartment,2,2,0,678,549,16,18,High (10-19),East,Unfurnished,19,1,5.7,0,0,1,1,2406,16.6,3.4,3,5,New,49.98,Low
PROP-045636,Delhi,Dwarka,Standard,Apartment,2,2,3,812,671,9,12,Mid (5-9),South-West,Semi-Furnished,12,2,4.5,0,0,0,1,2209,11.3,3.7,6,1,Resale,53.37,Low
PROP-048137,Bangalore,Electronic City,Standard,Apartment,4,4,1,1833,1548,9,17,Mid (5-9),South-East,Fully Furnished,15,1,6.2,0,0,0,1,2374,10.2,0.1,0,1,New,222.65,High
PROP-023259,Hyderabad,Kondapur,Standard,Apartment,2,2,2,844,692,29,34,Top (20+),West,Fully Furnished,9,2,4.7,0,0,1,1,1500,10.2,5.8,4,3,New,83.74,Low
PROP-039410,Mumbai,Bandra,Premium,Independent House,3,3,1,1637,1406,5,10,Mid (5-9),East,Semi-Furnished,0,3,7.5,1,1,1,1,5752,8.0,1.8,3,2,Resale,233.65,High
PROP-015831,Bangalore,HSR Layout,Standard,Independent House,4,4,4,2203,1799,5,6,Mid (5-9),South,Unfurnished,19,4,5.0,0,0,0,1,3425,12.6,1.3,3,0,New,241.57,High
PROP-038449,Bangalore,Koramangala,Premium,Apartment,4,4,4,1856,1486,4,6,Low (1-4),South-West,Semi-Furnished,0,1,6.7,0,0,1,1,3215,5.5,1.3,2,2,New,287.09,High
PROP-042692,Bangalore,Electronic City,Standard,Apartment,3,3,2,1340,1117,26,30,Top (20+),East,Semi-Furnished,2,2,5.1,0,0,1,1,3619,10.1,2.1,5,0,Resale,109.21,Low
PROP-032733,Mumbai,Bandra,Premium,Independent House,3,2,3,1663,1385,32,38,Top (20+),East,Semi-Furnished,11,2,6.5,1,0,1,1,4837,4.1,3.8,5,2,Resale,189.98,Low
PROP-032937,Mumbai,Thane,Affordable,Villa,4,4,1,2194,1800,0,17,Ground,West,Semi-Furnished,39,1,8.5,1,0,1,0,5043,23.3,10.1,0,1,Resale,63.43,Low
PROP-008163,Mumbai,Powai,Standard,Villa,3,4,3,1837,1523,6,12,Mid (5-9),East,Semi-Furnished,6,3,7.1,1,1,1,1,6900,14.1,1.1,4,2,Resale,221.25,High
PROP-004685,Mumbai,Powai,Standard,Studio,1,1,3,548,461,7,8,Mid (5-9),South-West,Fully Furnished,0,1,4.8,0,0,0,1,1433,15.3,0.9,1,0,Resale,56.62,Low
PROP-041433,Bangalore,Indiranagar,Premium,Independent House,5,5,2,2681,2193,17,25,High (10-19),North-West,Unfurnished,3,2,6.0,1,1,1,1,6865,4.6,0.1,5,2,Resale,388.85,High
PROP-018597,Mumbai,Andheri,Standard,Apartment,2,2,2,812,658,3,11,Low (1-4),North-East,Unfurnished,1,2,4.8,0,0,0,1,1891,11.1,1.5,3,0,Resale,90.91,Low
PROP-035247,Mumbai,Thane,Affordable,Apartment,2,2,0,850,706,1,5,Low (1-4),South-East,Unfurnished,7,2,5.2,0,0,0,0,1021,19.7,0.3,4,0,New,19.67,Low
PROP-029225,Delhi,Noida Sector 62,Standard,Villa,4,5,1,2306,1969,2,7,Low (1-4),East,Semi-Furnished,1,1,9.5,0,1,1,1,5402,17.4,3.0,5,1,Resale,257.16,High
PROP-021439,Delhi,Noida Sector 62,Standard,Apartment,5,4,1,1976,1685,5,9,Mid (5-9),East,Semi-Furnished,4,2,5.3,1,1,0,1,5979,11.0,3.3,3,0,New,91.78,Low
PROP-032865,Bangalore,Whitefield,Standard,Villa,2,2,0,1336,1170,17,21,High (10-19),North,Unfurnished,5,1,7.1,1,0,1,1,4542,14.1,1.2,7,4,Resale,138.54,Low
PROP-013736,Bangalore,Indiranagar,Premium,Apartment,3,4,3,1367,1184,9,17,Mid (5-9),South-West,Semi-Furnished,4,0,7.0,1,0,0,1,4573,6.3,2.2,5,6,Resale,161.83,Low
PROP-023489,Delhi,Noida Extension,Affordable,Independent House,3,3,2,1787,1546,9,15,Mid (5-9),East,Semi-Furnished,6,1,3.4,0,0,0,1,3757,20.4,4.1,3,1,Resale,69.27,Low
PROP-016554,Bangalore,Indiranagar,Premium,Row House,5,6,1,2299,1875,23,31,Top (20+),West,Semi-Furnished,3,5,4.2,1,0,1,1,5377,10.4,0.3,2,5,New,391.44,High
PROP-024741,Mumbai,Navi Mumbai,Affordable,Apartment,3,4,3,1386,1170,6,8,Mid (5-9),West,Unfurnished,0,1,5.5,0,0,0,1,2111,19.8,1.7,1,0,New,65.98,Low
PROP-027221,Mumbai,Bandra,Premium,Apartment,3,2,3,1554,1282,4,5,Low (1-4),North,Unfurnished,1,1,6.6,1,1,1,1,6239,5.7,2.2,2,5,New,296.55,High
PROP-017797,Delhi,Dwarka,Standard,Villa,4,4,0,2313,1993,9,15,Mid (5-9),South,Fully Furnished,1,0,6.3,1,0,1,1,4920,10.5,6.2,3,1,Resale,230.43,High
PROP-036293,Bangalore,Electronic City,Standard,Apartment,5,6,1,2422,1948,1,5,Low (1-4),North-East,Unfurnished,6,2,5.3,0,0,0,0,3881,11.6,0.1,2,0,Resale,206.83,High
PROP-027675,Mumbai,Andheri,Standard,Row House,3,4,1,1130,906,2,3,Low (1-4),East,Fully Furnished,3,4,5.5,0,0,1,1,2273,11.9,2.5,3,3,New,111.8,Low
PROP-038889,Mumbai,Andheri,Standard,Apartment,3,3,0,1219,1028,5,7,Mid (5-9),North-East,Unfurnished,1,0,5.6,0,0,0,1,2340,12.1,2.5,5,1,Resale,113.3,Low
PROP-033702,Hyderabad,Jubilee Hills,Premium,Apartment,2,2,2,799,684,6,7,Mid (5-9),North,Semi-Furnished,0,0,7.4,1,1,1,1,4866,4.5,0.4,6,4,Resale,131.78,Low
PROP-014955,Delhi,Dwarka,Standard,Independent House,3,3,2,1689,1366,0,13,Ground,South-East,Unfurnished,0,1,4.0,0,0,1,0,2992,12.7,2.1,3,2,New,95.26,Low
PROP-018131,Bangalore,Indiranagar,Premium,Villa,4,4,1,2146,1814,3,6,Low (1-4),South-East,Semi-Furnished,0,5,9.2,1,1,1,1,6683,5.8,0.2,4,1,Resale,342.92,High
PROP-043811,Bangalore,Koramangala,Premium,Apartment,2,1,4,1084,884,13,17,High (10-19),East,Semi-Furnished,17,2,5.5,1,1,1,1,6009,4.3,3.4,4,2,Resale,144.26,Low
PROP-008931,Delhi,Dwarka,Standard,Apartment,3,3,0,1194,1022,4,13,Low (1-4),North,Semi-Furnished,3,2,6.6,0,0,0,1,2963,12.7,2.0,1,1,Resale,95.24,Low
PROP-010191,Bangalore,Koramangala,Premium,Independent House,5,4,2,2686,2350,8,15,Mid (5-9),East,Unfurnished,3,2,5.8,1,1,1,1,7520,7.3,15.0,8,2,Resale,338.95,High
PROP-004367,Bangalore,Indiranagar,Premium,Apartment,5,6,4,2173,1911,8,11,Mid (5-9),North-East,Fully Furnished,7,1,7.0,0,1,0,1,5393,4.6,3.1,3,1,Resale,241.1,High
PROP-037498,Mumbai,Bandra,Premium,Apartment,3,4,1,1328,1121,8,11,Mid (5-9),South-East,Unfurnished,1,0,4.8,1,1,1,1,6651,6.2,1.4,4,5,New,191.19,High
PROP-019913,Bangalore,HSR Layout,Standard,Independent House,5,5,2,2721,2361,9,17,Mid (5-9),North,Fully Furnished,2,1,5.6,0,0,1,1,3290,14.7,5.6,2,1,Resale,274.44,High
PROP-026958,Delhi,Gurgaon DLF,Premium,Independent House,2,2,1,1258,1097,8,14,Mid (5-9),South-West,Fully Furnished,1,2,6.2,1,1,1,1,5745,10.5,4.3,3,3,Resale,198.66,High
PROP-004187,Bangalore,Electronic City,Standard,Apartment,3,2,1,1511,1228,15,18,High (10-19),East,Unfurnished,2,1,2.5,1,1,0,1,5305,10.7,4.1,3,1,Resale,214.94,High
PROP-035824,Delhi,South Delhi,Premium,Independent House,3,4,0,1853,1526,0,1,Ground,North,Unfurnished,7,2,6.8,0,1,1,0,5236,7.5,5.5,2,4,Resale,234.27,High
PROP-047545,Hyderabad,Gachibowli,Standard,Apartment,4,5,1,1790,1456,6,10,Mid (5-9),East,Unfurnished,13,3,4.4,0,0,1,1,2928,10.9,0.4,4,2,Resale,73.25,Low
PROP-037935,Mumbai,Navi Mumbai,Affordable,Studio,1,2,0,574,478,0,11,Ground,South-West,Unfurnished,4,3,6.4,1,0,0,0,3567,18.4,4.0,2,0,Resale,33.08,Low
PROP-026123,Hyderabad,Jubilee Hills,Premium,Independent House,3,4,3,1714,1441,9,10,Mid (5-9),North-East,Semi-Furnished,6,3,7.5,0,0,1,1,3111,12.0,3.9,3,6,New,245.27,High
PROP-007526,Hyderabad,Kondapur,Standard,Independent House,4,4,3,2313,1992,5,7,Mid (5-9),North-West,Semi-Furnished,4,0,5.5,0,0,1,1,3474,13.4,0.1,1,1,New,213.23,High
PROP-032794,Bangalore,Koramangala,Premium,Row House,5,5,3,2381,1933,7,10,Mid (5-9),West,Unfurnished,9,4,8.3,1,1,1,1,6822,4.8,3.2,4,3,New,321.57,High
PROP-044933,Delhi,South Delhi,Premium,Independent House,4,5,1,2544,2052,5,14,Mid (5-9),South,Fully Furnished,0,3,7.7,1,0,0,1,5576,5.9,9.0,3,3,Resale,401.24,High
PROP-019492,Mumbai,Navi Mumbai,Affordable,Row House,4,4,4,2057,1757,4,9,Low (1-4),North,Unfurnished,5,3,5.0,1,0,0,1,4592,19.3,1.7,4,5,Resale,122.26,Low
PROP-007112,Mumbai,Powai,Standard,Row House,5,5,2,2080,1710,4,13,Low (1-4),North-West,Fully Furnished,12,5,5.8,0,0,0,1,2371,13.6,3.5,2,1,Resale,177.05,Low
PROP-047867,Delhi,Dwarka,Standard,Villa,4,4,3,2151,1769,4,11,Low (1-4),East,Semi-Furnished,5,2,5.8,1,0,1,1,4399,10.9,0.2,3,2,New,215.96,High
PROP-044243,Bangalore,Whitefield,Standard,Studio,1,1,1,362,303,35,44,Top (20+),South,Semi-Furnished,10,1,3.4,0,0,0,1,952,10.5,1.0,2,5,Resale,12.02,Low
PROP-013906,Mumbai,Powai,Standard,Apartment,1,2,0,300,261,13,15,High (10-19),South-East,Fully Furnished,13,1,3.4,1,0,1,1,3039,10.6,0.9,3,0,Resale,32.65,Low
